,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
701,James Faulkner,2,2,1,14,11*,14.0,13,107.69,0,0,0,0
702,Dimitri Mascarenhas,4,3,0,14,9,4.66,16,87.5,0,0,1,0
703,Mohammad Kaif,1,1,0,14,14,14.0,16,87.5,0,0,1,0
704,Sreenath Aravind,1,1,1,14,14*,0.0,8,175.0,0,0,3,0
705,Doug Bracewell,1,1,1,12,12*,0.0,9,133.33,0,0,1,0
706,Zaheer Khan,16,5,3,12,11*,6.0,17,70.58,0,0,1,0
707,Ankeet Chavan,8,2,1,11,7*,11.0,8,137.5,0,0,2,0
708,Ashish Nehra,13,2,2,11,9*,0.0,12,91.66,0,0,1,0
709,Krishnakant Upadhyay,1,1,1,11,11*,0.0,8,137.5,0,0,0,1
710,Dhawal Kulkarni,2,1,1,10,10*,0.0,5,200.0,0,0,2,0
711,Sunil Narine,15,2,1,9,9*,9.0,7,128.57,0,0,2,0
712,Clint McKay,2,1,0,8,8,8.0,15,53.33,0,0,0,0
713,Shadab Jakati,15,2,2,7,6*,0.0,12,58.33,0,0,0,0
714,Juan Theron,2,1,1,7,7*,0.0,6,116.66,0,0,1,0
715,Glenn Maxwell,2,2,1,6,3*,6.0,11,54.54,0,0,0,0
716,Bhargav Bhatt,5,1,1,6,6*,0.0,2,300.0,0,0,0,1
717,RP Singh,11,5,3,6,3,3.0,12,50.0,0,0,0,0
718,Wriddhiman Saha,4,1,0,6,6,6.0,14,42.85,0,0,0,0
719,Asad Pathan,2,2,1,6,4,6.0,7,85.71,0,0,0,0
720,Chris Lynn,1,1,0,6,6,6.0,9,66.66,0,0,1,0
721,Harpreet Singh,1,1,0,6,6,6.0,6,100.0,0,0,0,0
722,Muttiah Muralitharan,10,2,0,6,6,3.0,9,66.66,0,0,0,0
723,Pragyan Ojha,9,3,1,5,4,2.5,14,35.71,0,0,0,0
724,Siddharth Trivedi,14,1,1,5,5*,0.0,6,83.33,0,0,0,0
725,Nuwan Kulasekara,5,1,1,5,5*,0.0,3,166.66,0,0,1,0
726,Dwaraka Ravi Teja,2,2,0,4,4,2.0,4,100.0,0,0,1,0
727,Thisara Perera,2,2,1,4,4*,4.0,9,44.44,0,0,0,0
728,Parvinder Awana,12,2,2,4,4*,0.0,5,80.0,0,0,0,0
729,Syed Mohammad,2,1,1,4,4*,0.0,1,400.0,0,0,1,0
730,Mohnish Mishra,1,1,0,4,4,4.0,4,100.0,0,0,1,0
731,Manpreet Gony,6,1,0,4,4,4.0,8,50.0,0,0,0,0
732,Michael Hussey,17,17,3,733,95,52.35,566,129.5,0,6,81,17
733,Chris Gayle,16,16,4,708,175*,59.0,453,156.29,1,4,57,51
734,Virat Kohli,16,16,2,634,99,45.28,457,138.73,0,6,64,22
735,Suresh Raina,18,17,4,548,100*,42.15,365,150.13,1,4,50,18
736,Shane Watson,16,16,2,543,101,38.78,380,142.89,1,2,59,22
737,Rohit Sharma,19,19,5,538,79*,38.42,409,131.54,0,4,35,28
738,Dinesh Karthik,19,19,1,510,86,28.33,411,124.08,0,2,54,14
739,Ajinkya Rahane,18,18,4,488,68*,34.85,458,106.55,0,4,42,11
740,Rahul Dravid,18,17,1,471,65,29.43,425,110.82,0,4,64,5
741,MS Dhoni,18,16,5,461,67*,41.9,283,162.89,0,4,32,25
742,Aaron Finch,14,14,0,456,67,32.57,336,135.71,0,4,54,16
743,Robin Uthappa,16,16,0,434,75,27.12,371,116.98,0,2,42,12
744,Kieron Pollard,18,18,8,420,66*,42.0,281,149.46,0,3,27,29
745,Dwayne Smith,13,13,0,418,68,32.15,341,122.58,0,4,40,19
746,David Miller,12,12,5,418,101*,59.71,254,164.56,1,3,28,24
747,David Warner,16,16,3,410,77,31.53,323,126.93,0,4,41,14
748,Gautam Gambhir,16,16,0,406,60,25.37,343,118.36,0,4,51,5
749,AB de Villiers,14,14,4,360,64,36.0,219,164.38,0,2,34,15
750,Yusuf Pathan,16,16,5,332,72,30.18,240,138.33,0,1,30,14
751,Mahela Jayawardena,15,15,0,331,66,22.06,313,105.75,0,2,39,6
752,Murali Vijay,15,15,1,312,55,22.28,286,109.09,0,2,27,8
753,Jacques Kallis,16,16,1,311,41,20.73,322,96.58,0,0,35,3
754,Shikhar Dhawan,10,10,2,311,73*,38.87,253,122.92,0,3,37,5
755,Eoin Morgan,14,13,2,307,51,27.9,240,127.91,0,1,28,13
756,Shaun Marsh,8,8,0,300,77,37.5,249,120.48,0,3,39,4
757,Virender Sehwag,13,13,1,295,95*,24.58,233,126.6,0,1,41,6
758,Parthiv Patel,13,13,0,294,61,22.61,255,115.29,0,1,37,4
759,Adam Gilchrist,13,13,1,294,85*,24.5,229,128.38,0,1,41,6
760,Brad Hodge,17,14,7,293,54*,41.85,218,134.4,0,1,27,9
761,Stuart Binny,17,16,7,293,41*,32.55,199,147.23,0,0,25,12
762,Sachin Tendulkar,14,14,1,287,54,22.07,231,124.24,0,1,38,5
763,Ambati Rayudu,19,17,3,265,37,18.92,231,114.71,0,0,22,4
764,Mandeep Singh,16,14,1,260,77*,20.0,223,116.59,0,1,36,0
765,Manvinder Bisla,14,14,1,255,92,19.61,236,108.05,0,2,36,6
766,Hanuma Vihari,17,17,3,241,46,17.21,278,86.69,0,0,17,1
767,Yuvraj Singh,13,13,1,238,34,19.83,190,125.26,0,0,14,15
768,David Hussey,12,11,1,235,41,23.5,209,112.44,0,0,20,6
769,Thisara Perera,16,14,4,233,40,23.3,163,142.94,0,0,12,14
770,Cameron White,13,13,1,209,52,17.41,191,109.42,0,1,18,7
771,Sanju Samson,11,10,2,206,63,25.75,178,115.73,0,1,19,5
772,Ravindra Jadeja,18,14,6,201,38*,25.12,135,148.88,0,0,17,6
773,Azhar Mahmood,11,10,0,196,80,19.6,154,127.27,0,2,22,5
774,Ben Rohrer,8,8,2,193,64*,32.16,140,137.85,0,1,21,5
775,Darren Sammy,10,9,3,174,60,29.0,132,131.81,0,1,11,10
776,Angelo Mathews,11,10,3,172,40,24.57,139,123.74,0,0,5,10
777,Moises Henriques,10,9,5,165,44,41.25,125,132.0,0,0,20,3
778,Manan Vohra,12,10,2,161,43*,20.12,117,137.6,0,0,22,2
779,Steve Smith,7,7,3,159,41,39.75,132,120.45,0,0,15,4
780,Unmukt Chand,9,9,0,158,41,17.55,158,100.0,0,0,17,4
781,Kedar Jadhav,12,10,3,152,31,21.71,124,122.58,0,0,8,5
782,Manoj Tiwary,10,9,1,146,33,18.25,140,104.28,0,0,12,1
783,Irfan Pathan,15,13,5,142,24,17.75,152,93.42,0,0,9,3
784,Mitchell Marsh,9,8,1,140,38,20.0,106,132.07,0,0,6,10
785,Manish Pandey,7,7,1,136,66,22.66,137,99.27,0,1,11,3
786,Manpreet Juneja,7,7,0,125,49,17.85,128,97.65,0,0,11,1
787,Ashish Reddy,12,10,4,125,36*,20.83,89,140.44,0,0,8,5
788,Dishant Yagnik,12,9,1,125,34,15.62,96,130.2,0,0,17,2
789,Subramaniam Badrinath,18,8,1,124,34,17.71,121,102.47,0,0,11,0
790,Biplap Samantray,8,7,2,123,55,24.6,111,110.81,0,1,13,2
791,Aditya Tare,5,5,0,123,59,24.6,84,146.42,0,1,14,5
792,Dwayne Bravo,18,12,4,121,23*,15.12,106,114.15,0,0,11,3
793,Kumar Sangakkara,9,9,0,120,28,13.33,136,88.23,0,0,13,0
794,Harbhajan Singh,19,14,8,116,25*,19.33,79,146.83,0,0,12,5
795,Saurabh Tiwary,9,6,2,109,52,27.25,106,102.83,0,1,4,4
796,Rajagopal Sathish,9,8,3,109,27*,21.8,77,141.55,0,0,9,5
797,Gurkeerat Mann Singh,11,9,1,108,31,13.5,95,113.68,0,0,10,3
798,Luke Wright,6,6,1,106,44,21.2,60,176.66,0,0,16,3
799,Rajat Bhatia,15,10,4,99,26*,16.5,80,123.75,0,0,8,3
800,Cheteshwar Pujara,4,4,0,92,51,23.0,99,92.92,0,1,14,0
801,Akshath Reddy,7,7,0,91,27,13.0,101,90.09,0,0,9,0
802,Amit Mishra,17,8,2,89,30,14.83,96,92.7,0,0,9,0
803,Karn Sharma,13,7,3,85,39*,21.25,86,98.83,0,0,6,2
804,Ryan ten Doeschate,4,4,1,85,42,28.33,63,134.92,0,0,9,2
805,Tillakaratne Dilshan,5,5,0,76,33,15.2,93,81.72,0,0,12,0
806,Debabrata Das,10,6,1,75,23,15.0,74,101.35,0,0,5,5
807,Vinay Kumar,16,5,4,70,26*,70.0,44,159.09,0,0,6,3
808,Wriddhiman Saha,3,3,0,70,39,23.33,56,125.0,0,0,6,4
809,Mayank Agarwal,5,5,0,67,29,13.4,62,108.06,0,0,6,3
810,Abhishek Nayar,11,9,3,66,25*,11.0,73,90.41,0,0,5,0
811,Piyush Chawla,16,11,5,64,23,10.66,57,112.28,0,0,5,3
812,Ross Taylor,5,5,0,63,19,12.6,76,82.89,0,0,2,1
813,Luke Pomersbach,3,3,1,58,33*,29.0,59,98.3,0,0,5,1
814,Morne Morkel,10,6,1,57,23*,11.4,29,196.55,0,0,6,3
815,James Faulkner,16,9,4,57,19*,11.4,57,100.0,0,0,5,2
816,Dale Steyn,17,8,6,53,18*,26.5,36,147.22,0,0,5,2
817,Ricky Ponting,6,5,0,52,28,10.4,75,69.33,0,0,3,1
818,Bhuvneshwar Kumar,16,9,2,52,24*,7.42,71,73.23,0,0,3,1
819,Tirumalasetti Suman,7,5,0,52,23,10.4,58,89.65,0,0,8,0
820,Praveen Kumar,15,7,1,47,24,7.83,39,120.51,0,0,3,3
821,Albie Morkel,8,3,0,46,23,15.33,37,124.32,0,0,2,3
822,Manpreet Gony,8,5,1,45,42,11.25,25,180.0,0,0,4,3
823,Chidhambaram Gautam,3,3,1,44,30,22.0,34,129.41,0,0,4,1
824,Johan Botha,6,6,0,43,23,7.16,52,82.69,0,0,5,1
825,Arun Karthik,12,5,2,41,19*,13.66,38,107.89,0,0,3,1
826,Mitchell Johnson,17,6,2,39,11,9.75,36,108.33,0,0,2,2
827,Kevon Cooper,14,5,1,39,26,9.75,22,177.27,0,0,4,2
828,Umesh Yadav,16,8,7,38,12*,38.0,38,100.0,0,0,3,1
829,Ravi Rampaul,10,6,2,38,23*,9.5,37,102.7,0,0,3,1
830,Glenn Maxwell,3,3,1,36,23,18.0,27,133.33,0,0,1,4
831,Ravichandran Ashwin,18,5,1,35,11*,8.75,49,71.42,0,0,4,0
832,Kane Richardson,3,2,0,34,26,17.0,36,94.44,0,0,2,1
833,Owais Shah,2,2,0,25,24,12.5,23,108.69,0,0,2,0
834,Jeevan Mendis,3,3,0,23,12,7.66,27,85.18,0,0,0,0
835,Sumit Narwal,2,1,0,23,23,23.0,15,153.33,0,0,4,0
836,Roelof van der Merwe,3,2,0,22,14,11.0,25,88.0,0,0,2,0
837,Sunil Narine,16,6,3,21,13,7.0,19,110.52,0,0,0,2
838,Brett Lee,3,2,1,21,16*,21.0,12,175.0,0,0,1,2
839,Rishi Dhawan,6,4,1,21,14,7.0,21,100.0,0,0,3,0
840,KL Rahul,5,2,0,20,12,10.0,16,125.0,0,0,4,0
841,Abhinav Mukund,1,1,0,19,19,19.0,21,90.47,0,0,1,0
842,Bharat Chipli,1,1,0,16,16,16.0,18,88.88,0,0,1,1
843,Shahbaz Nadeem,12,6,1,14,6,2.8,27,51.85,0,0,1,0
844,Dwaraka Ravi Teja,2,2,1,14,10,14.0,17,82.35,0,0,0,0
845,Kushal Janith Perera,2,2,0,14,14,7.0,13,107.69,0,0,3,0
846,Chris Morris,16,6,4,14,7*,7.0,16,87.5,0,0,0,0
847,Mithun Manhas,3,2,2,13,11*,0.0,17,76.47,0,0,1,0
848,Ajit Agarkar,4,2,1,12,9*,12.0,16,75.0,0,0,0,0
849,Andre Russell,3,2,0,11,7,5.5,14,78.57,0,0,0,0
850,Rahul Sharma,11,6,2,11,10*,2.75,17,64.7,0,0,1,0
851,Syed Mohammad,4,2,0,10,9,5.0,13,76.92,0,0,1,0
852,Sachithra Senanayake,8,4,3,10,7*,10.0,17,58.82,0,0,0,0
853,Thalaivan Sargunam,1,1,0,10,10,10.0,17,58.82,0,0,0,0
854,Lakshmipathy Balaji,13,3,2,9,9*,9.0,10,90.0,0,0,1,0
855,Naman Ojha,2,2,1,9,9,9.0,10,90.0,0,0,1,0
856,Karun Nair,2,2,0,9,9,4.5,12,75.0,0,0,0,0
857,Lasith Malinga,17,6,2,9,7,2.25,18,50.0,0,0,1,0
858,Nathan Coulter-Nile,1,1,0,9,9,9.0,6,150.0,0,0,0,1
859,Ashok Dinda,13,5,3,9,6*,4.5,11,81.81,0,0,1,0
860,Iqbal Abdulla,5,2,2,8,6*,0.0,14,57.14,0,0,0,0
861,Marlon Samuels,2,2,0,8,5,4.0,18,44.44,0,0,1,0
862,Siddarth Kaul,6,2,2,7,7*,0.0,9,77.77,0,0,0,0
863,Udit Birla,2,1,0,7,7,7.0,14,50.0,0,0,1,0
864,Dan Christian,2,2,0,6,4,3.0,15,40.0,0,0,0,0
865,Quinton de Kock,3,3,0,6,4,2.0,15,40.0,0,0,1,0
866,Paul Valthaty,1,1,0,6,6,6.0,17,35.29,0,0,0,0
867,Brendon McCullum,1,1,0,6,6,6.0,7,85.71,0,0,1,0
868,Mohammad Shami,3,1,0,5,5,5.0,10,50.0,0,0,0,0
869,Dimitri Mascarenhas,1,1,1,5,5*,0.0,5,100.0,0,0,0,0
870,Ali Murtaza,3,1,0,5,5,5.0,4,125.0,0,0,1,0
871,Mahesh Rawat,2,2,1,5,5,5.0,11,45.45,0,0,0,0
872,Wayne Parnell,4,1,0,5,5,5.0,7,71.42,0,0,0,0
873,Parveez Rasool,2,2,1,5,4*,5.0,9,55.55,0,0,0,0
874,Paras Dogra,1,1,0,5,5,5.0,8,62.5,0,0,0,0
875,Ben Laughlin,2,2,1,4,4*,4.0,9,44.44,0,0,0,0
876,Pradeep Sangwan,2,1,1,4,4*,0.0,2,200.0,0,0,1,0
877,Ajit Chandila,8,1,1,4,4*,0.0,6,66.66,0,0,0,0
878,Raiphi Gomez,2,1,1,4,4*,0.0,1,400.0,0,0,1,0
879,Laxmi Ratan Shukla,4,2,0,3,2,1.5,12,25.0,0,0,0,0
880,Siddharth Trivedi,17,2,1,3,3,3.0,7,42.85,0,0,0,0
881,Ryan McLaren,2,2,0,3,2,1.5,6,50.0,0,0,0,0
882,Robin Uthappa,16,16,1,660,83*,44.0,479,137.78,0,5,74,18
883,Dwayne Smith,16,16,0,566,79,35.37,416,136.05,0,5,50,34
884,Glenn Maxwell,16,16,0,552,95,34.5,294,187.75,0,4,48,36
885,David Warner,14,14,3,528,90,48.0,375,140.8,0,6,39,24
886,Suresh Raina,16,16,3,523,87,40.23,358,146.08,0,5,51,19
887,Virender Sehwag,17,17,0,455,122,26.76,315,144.44,1,1,56,18
888,David Miller,16,16,6,446,66,44.6,299,149.16,0,3,34,21
889,JP Duminy,14,14,6,410,67*,51.25,305,134.42,0,2,22,20
890,Brendon McCullum,14,14,1,405,71*,31.15,333,121.62,0,3,32,19
891,Manish Pandey,16,16,3,401,94,30.84,340,117.94,0,2,35,10
892,AB de Villiers,14,13,2,395,89*,35.9,249,158.63,0,3,26,24
893,Lendl Simmons,8,8,1,394,100*,56.28,291,135.39,1,3,43,14
894,Rohit Sharma,15,15,2,390,59*,30.0,302,129.13,0,3,31,16
895,Shikhar Dhawan,14,14,1,377,64*,29.0,319,118.18,0,2,49,7
896,Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,22,28
897,MS Dhoni,16,15,10,371,57*,74.2,250,148.4,0,1,22,20
898,Wriddhiman Saha,17,13,2,362,115*,32.9,249,145.38,1,2,33,18
899,Ambati Rayudu,15,14,0,361,68,25.78,287,125.78,0,2,31,8
900,Virat Kohli,14,14,1,359,73,27.61,294,122.1,0,2,23,16
901,Sanju Samson,13,13,0,339,74,26.07,273,124.17,0,2,25,17
902,Ajinkya Rahane,13,12,0,339,72,28.25,291,116.49,0,3,38,3
903,Gautam Gambhir,16,16,1,335,69,22.33,293,114.33,0,3,36,4
904,Karun Nair,11,11,1,330,73*,33.0,232,142.24,0,3,38,9
905,Dinesh Karthik,14,14,0,325,69,23.21,258,125.96,0,3,28,11
906,Manan Vohra,8,8,0,324,67,40.5,233,139.05,0,1,27,16
907,Aaron Finch,13,13,2,309,88*,28.09,263,117.49,0,2,31,9
908,Faf du Plessis,15,12,1,303,54*,27.54,235,128.93,0,2,26,7
909,Kevin Pietersen,11,11,1,294,58,29.4,233,126.18,0,1,34,7
910,Kieron Pollard,15,15,7,273,78,34.12,203,134.48,0,1,15,15
911,Yusuf Pathan,15,12,3,268,72,29.77,165,162.42,0,1,15,20
912,Corey Anderson,12,11,2,265,95*,29.44,181,146.4,0,1,21,15
913,George Bailey,17,16,7,257,40*,28.55,190,135.26,0,0,19,10
914,Shane Watson,13,13,1,240,51,20.0,196,122.44,0,2,19,14
915,Naman Ojha,11,10,4,232,79*,38.66,161,144.09,0,1,14,17
916,Shakib Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1,22,7
917,Michael Hussey,9,9,0,209,56,23.22,182,114.83,0,2,17,7
918,Murali Vijay,11,11,0,207,52,18.81,192,107.81,0,1,20,5
919,Parthiv Patel,12,12,2,205,57*,20.5,185,110.81,0,1,30,1
920,Chris Gayle,9,9,0,196,46,21.77,184,106.52,0,0,18,12
921,James Faulkner,13,12,8,181,41*,45.25,94,192.55,0,0,8,16
922,KL Rahul,11,8,0,166,46,20.75,164,101.21,0,0,12,3
923,Suryakumar Yadav,16,10,5,164,34,32.8,117,140.17,0,0,16,5
924,Quinton de Kock,7,7,0,153,48,21.85,130,117.69,0,0,19,4
925,Manoj Tiwary,8,8,3,152,61*,30.4,118,128.81,0,1,14,4
926,Jacques Kallis,8,7,1,151,72,25.16,129,117.05,0,1,13,4
927,Kedar Jadhav,10,10,5,149,37,29.8,101,147.52,0,0,13,7
928,Steve Smith,10,7,3,147,48*,36.75,110,133.63,0,0,13,4
929,Ravindra Jadeja,16,10,5,146,36*,29.2,110,132.72,0,0,9,5
930,Aditya Tare,15,12,4,126,24,15.75,98,128.57,0,0,16,3
931,Cheteshwar Pujara,6,6,1,125,40*,25.0,124,100.8,0,0,17,0
932,Stuart Binny,13,12,2,123,48*,12.3,121,101.65,0,0,4,5
933,Chidhambaram Gautam,9,9,2,121,33,17.28,111,109.0,0,0,13,5
934,David Hussey,5,4,2,116,50*,58.0,94,123.4,0,1,8,6
935,Mayank Agarwal,8,8,0,115,31,14.37,91,126.37,0,0,12,3
936,Darren Sammy,10,9,2,108,29,15.42,91,118.68,0,0,4,8
937,Yogesh Takawale,5,5,0,104,45,20.8,91,114.28,0,0,17,1
938,Brad Hodge,4,4,1,101,40,33.66,72,140.27,0,0,4,6
939,Mitchell Starc,14,9,3,85,29,14.16,84,101.19,0,0,9,0
940,Rishi Dhawan,13,6,4,82,23*,41.0,75,109.33,0,0,8,1
941,Sachin Rana,9,7,4,73,19*,24.33,65,112.3,0,0,7,1
942,Venugopal Rao,7,5,2,71,27,23.66,63,112.69,0,0,8,0
943,Shaun Marsh,2,2,0,70,40,35.0,52,134.61,0,0,7,3
944,Rajat Bhatia,12,7,2,67,23,13.4,53,126.41,0,0,4,3
945,Axar Patel,17,8,2,62,42*,10.33,60,103.33,0,0,6,1
946,Ross Taylor,4,4,1,59,43*,19.66,59,100.0,0,0,6,0
947,Chris Lynn,2,2,0,58,45,29.0,49,118.36,0,0,5,3
948,Mitchell Johnson,14,8,5,56,16*,18.66,50,112.0,0,0,4,3
949,Irfan Pathan,10,6,4,55,23*,27.5,54,101.85,0,0,5,0
950,Ryan ten Doeschate,10,7,3,52,25*,13.0,33,157.57,0,0,3,4
951,Albie Morkel,7,5,2,45,16,15.0,41,109.75,0,0,1,3
952,Ravichandran Ashwin,16,6,3,45,14,15.0,45,100.0,0,0,4,0
953,Abhishek Nayar,5,4,1,43,23,14.33,47,91.48,0,0,5,1
954,Jimmy Neesham,4,3,0,42,22,14.0,46,91.3,0,0,3,1
955,Karn Sharma,14,8,4,42,17*,10.5,29,144.82,0,0,1,3
956,Ben Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0
957,Rilee Rossouw,3,3,0,39,24,13.0,41,95.12,0,0,2,2
958,Kevon Cooper,5,5,2,39,32,13.0,26,150.0,0,0,2,3
959,Varun Aaron,10,3,3,35,17*,0.0,34,102.94,0,0,2,1
960,Dhawal Kulkarni,8,2,2,35,28*,0.0,25,140.0,0,0,1,2
961,Mithun Manhas,12,5,3,35,13*,17.5,23,152.17,0,0,3,1
962,Ankit Sharma,3,2,0,34,30,17.0,30,113.33,0,0,4,1
963,Piyush Chawla,11,5,2,31,17*,10.33,19,163.15,0,0,4,1
964,Laxmi Ratan Shukla,5,3,0,31,21,10.33,38,81.57,0,0,2,1
965,Vijay Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1
966,Harbhajan Singh,14,7,2,28,10*,5.6,25,112.0,0,0,2,2
967,Mandeep Singh,3,3,0,24,21,8.0,26,92.3,0,0,2,0
968,Dale Steyn,14,4,1,22,12,7.33,26,84.61,0,0,1,0
969,Rahul Shukla,3,3,2,18,14,18.0,21,85.71,0,0,2,0
970,Nic Maddinson,2,2,0,16,12,8.0,14,114.28,0,0,3,0
971,Rahul Tewatia,3,1,0,16,16,16.0,13,123.07,0,0,0,1
972,Jason Holder,1,1,0,16,16,16.0,12,133.33,0,0,2,1
973,Ravi Rampaul,2,1,0,13,13,13.0,13,100.0,0,0,0,1
974,Harshal Patel,3,3,1,13,6,6.5,7,185.71,0,0,1,1
975,Shreyas Gopal,4,1,0,11,11,11.0,10,110.0,0,0,1,0
976,Sunil Narine,16,5,3,10,6,5.0,14,71.42,0,0,0,0
977,Moises Henriques,4,2,0,9,9,4.5,14,64.28,0,0,1,0
978,Zaheer Khan,6,4,3,8,7*,8.0,7,114.28,0,0,0,1
979,Imran Tahir,6,2,0,8,4,4.0,10,80.0,0,0,2,0
980,Ben Cutting,1,1,0,8,8,8.0,6,133.33,0,0,0,1
981,Dwayne Bravo,1,1,1,8,8*,0.0,3,266.66,0,0,0,1
982,Shahbaz Nadeem,11,3,1,7,3*,3.5,19,36.84,0,0,0,0
983,Pravin Tambe,13,2,0,5,3,2.5,9,55.55,0,0,0,0
984,Shivam Sharma,4,2,1,5,4,5.0,3,166.66,0,0,1,0
985,Morne Morkel,12,2,2,4,4*,0.0,3,133.33,0,0,0,0
986,Vinay Kumar,9,4,2,4,4,2.0,6,66.66,0,0,0,0
987,Ashok Dinda,9,3,2,4,2*,4.0,12,33.33,0,0,0,0
988,Amit Mishra,10,2,1,4,4*,4.0,7,57.14,0,0,0,0
989,Tim Southee,3,1,0,4,4,4.0,4,100.0,0,0,1,0
990,Dishant Yagnik,1,1,1,4,4*,0.0,6,66.66,0,0,0,0
991,Abu Nechim,4,1,1,4,4*,0.0,1,400.0,0,0,1,0
992,Mohammad Shami,12,4,2,3,1*,1.5,7,42.85,0,0,0,0
993,Manvinder Bisla,1,1,0,3,3,3.0,9,33.33,0,0,0,0
994,Srikkanth Anirudha,1,1,0,3,3,3.0,5,60.0,0,0,0,0
995,Lasith Malinga,10,1,0,2,2,2.0,4,50.0,0,0,0,0
996,Wayne Parnell,8,2,1,2,2,2.0,2,100.0,0,0,0,0
997,Sandeep Sharma,11,1,1,2,2*,0.0,5,40.0,0,0,0,0
998,Umesh Yadav,12,1,0,2,2,2.0,4,50.0,0,0,0,0
999,Andre Russell,2,2,0,2,1,1.0,8,25.0,0,0,0,0
1000,Siddarth Kaul,5,1,1,2,2*,0.0,2,100.0,0,0,0,0
1001,Unmukt Chand,1,1,0,2,2,2.0,9,22.22,0,0,0,0
1002,Yuzvendra Chahal,14,2,2,1,1*,0.0,1,100.0,0,0,0,0
1003,Kane Richardson,7,1,0,1,1,1.0,2,50.0,0,0,0,0
1004,Bhuvneshwar Kumar,14,2,1,1,1,1.0,4,25.0,0,0,0,0
1005,Jasprit Bumrah,11,2,2,1,1*,0.0,3,33.33,0,0,0,0
1006,Jaydev Unadkat,9,2,1,1,1*,1.0,6,16.66,0,0,0,0
1007,Praveen Kumar,3,1,0,1,1,1.0,2,50.0,0,0,0,0
1008,Marchant de Lange,1,1,0,1,1,1.0,2,50.0,0,0,0,0
1009,Vikramjeet Malik,1,1,1,1,1*,0.0,2,50.0,0,0,0,0
1010,Karanveer Singh,5,1,1,1,1*,0.0,1,100.0,0,0,0,0
1011,Lakshmipathy Balaji,9,2,1,1,1*,1.0,3,33.33,0,0,0,0
1012,Mohit Sharma,16,1,1,1,1*,0.0,3,33.33,0,0,0,0
1013,Beuran Hendricks,3,1,0,0,0*,0.0,1,0.0,0,0,0,0
1014,David Warner,14,14,1,562,91,43.23,359,156.54,0,7,65,21
1015,Lendl Simmons,13,13,1,540,71,45.0,441,122.44,0,6,56,21
1016,Ajinkya Rahane,14,13,2,540,91*,49.09,413,130.75,0,4,53,13
1017,AB de Villiers,16,14,3,513,133*,46.63,293,175.08,1,2,60,22
1018,Virat Kohli,16,16,5,505,82*,45.9,386,130.82,0,3,35,23
1019,Chris Gayle,14,14,2,491,117,40.91,333,147.44,1,2,39,38
1020,Rohit Sharma,16,16,2,482,98*,34.42,333,144.74,0,3,41,21
1021,Shreyas Iyer,14,14,1,439,83,33.76,342,128.36,0,4,41,21
1022,Brendon McCullum,14,14,1,436,100*,33.53,280,155.71,1,2,51,23
1023,Kieron Pollard,16,14,3,419,70,38.09,256,163.67,0,2,28,28
1024,JP Duminy,14,13,3,414,78*,41.4,315,131.42,0,4,27,20
1025,Dwayne Smith,16,16,0,399,62,24.93,335,119.1,0,2,52,16
1026,Faf du Plessis,17,15,2,380,55,29.23,304,125.0,0,1,37,5
1027,Suresh Raina,17,17,2,374,62,24.93,304,123.02,0,2,31,16
1028,MS Dhoni,17,17,5,372,53,31.0,305,121.96,0,1,27,17
1029,Robin Uthappa,13,13,1,364,80*,30.33,277,131.4,0,1,42,7
1030,David Miller,13,13,2,357,89*,32.45,266,134.21,0,2,21,21
1031,Shikhar Dhawan,14,14,1,353,54,27.15,286,123.42,0,3,45,6
1032,Shane Watson,10,9,1,347,104*,43.37,257,135.01,1,1,37,14
1033,Parthiv Patel,14,14,1,339,59,26.07,246,137.8,0,2,47,5
1034,Gautam Gambhir,13,13,0,327,60,25.15,278,117.62,0,3,41,4
1035,Andre Russell,13,11,2,326,66,36.22,169,192.89,0,3,35,19
1036,Yusuf Pathan,13,12,5,312,52,44.57,231,135.06,0,1,29,12
1037,Steve Smith,14,12,1,293,79*,26.63,221,132.57,0,2,33,3
1038,Moises Henriques,9,9,2,287,74*,41.0,211,136.01,0,2,19,13
1039,Ambati Rayudu,15,14,5,281,53*,31.22,193,145.59,0,1,18,16
1040,George Bailey,13,13,2,259,61*,23.54,190,136.31,0,2,22,7
1041,Murali Vijay,11,11,0,251,39,22.81,228,110.08,0,0,27,8
1042,Wriddhiman Saha,14,13,0,249,42,19.15,197,126.39,0,0,16,10
1043,Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2,23,10
1044,Manish Pandey,13,12,1,225,40,20.45,184,122.28,0,0,22,7
1045,Mayank Agarwal,10,10,1,213,68,23.66,177,120.33,0,2,23,7
1046,Axar Patel,14,12,3,206,40*,22.88,174,118.39,0,0,13,8
1047,Sanju Samson,14,11,1,204,76,20.4,163,125.15,0,1,16,8
1048,Dwayne Bravo,17,14,5,195,62*,21.66,148,131.75,0,1,22,5
1049,Kedar Jadhav,14,12,4,189,63*,23.62,140,135.0,0,1,16,7
1050,Eoin Morgan,9,9,1,187,63,23.37,151,123.84,0,1,11,11
1051,Karun Nair,14,12,1,181,61,16.45,145,124.82,0,1,18,5
